case_001.txt	faces=2	max_face=9	vertices=9	edges=9	base_points=3 subdivisions=2 seed=1228722198
case_002.txt	faces=3	max_face=12	vertices=14	edges=15	base_points=4 subdivisions=2 seed=206593245
case_003.txt	faces=4	max_face=9	vertices=16	edges=18	base_points=4 subdivisions=2 seed=1857095906
case_004.txt	faces=4	max_face=12	vertices=19	edges=21	base_points=5 subdivisions=2 seed=358177455
case_005.txt	faces=5	max_face=12	vertices=21	edges=24	base_points=5 subdivisions=2 seed=1145890587
case_006.txt	faces=5	max_face=12	vertices=21	edges=24	base_points=5 subdivisions=2 seed=932569919
case_007.txt	faces=5	max_face=15	vertices=24	edges=27	base_points=6 subdivisions=2 seed=106396848
case_008.txt	faces=5	max_face=15	vertices=24	edges=27	base_points=6 subdivisions=2 seed=1009308001
case_009.txt	faces=5	max_face=15	vertices=24	edges=27	base_points=6 subdivisions=2 seed=655400164
case_010.txt	faces=6	max_face=9	vertices=23	edges=27	base_points=5 subdivisions=2 seed=790669069
case_011.txt	faces=6	max_face=12	vertices=26	edges=30	base_points=6 subdivisions=2 seed=217626933
case_012.txt	faces=6	max_face=12	vertices=29	edges=33	base_points=7 subdivisions=2 seed=262982662
case_013.txt	faces=6	max_face=12	vertices=26	edges=30	base_points=6 subdivisions=2 seed=939887813
case_014.txt	faces=6	max_face=15	vertices=26	edges=30	base_points=6 subdivisions=2 seed=2140062914
case_015.txt	faces=6	max_face=15	vertices=26	edges=30	base_points=6 subdivisions=2 seed=272866270
case_016.txt	faces=6	max_face=15	vertices=29	edges=33	base_points=7 subdivisions=2 seed=1531596720
case_017.txt	faces=7	max_face=12	vertices=28	edges=33	base_points=6 subdivisions=2 seed=467531549
case_018.txt	faces=7	max_face=12	vertices=28	edges=33	base_points=6 subdivisions=2 seed=148994173
case_019.txt	faces=7	max_face=12	vertices=28	edges=33	base_points=6 subdivisions=2 seed=1470221841
case_020.txt	faces=7	max_face=12	vertices=28	edges=33	base_points=6 subdivisions=2 seed=1247497670
case_021.txt	faces=7	max_face=12	vertices=28	edges=33	base_points=6 subdivisions=2 seed=46038703
case_022.txt	faces=7	max_face=12	vertices=31	edges=36	base_points=7 subdivisions=2 seed=754397853
case_023.txt	faces=7	max_face=12	vertices=31	edges=36	base_points=7 subdivisions=2 seed=814302607
case_024.txt	faces=7	max_face=12	vertices=31	edges=36	base_points=7 subdivisions=2 seed=841055671
case_025.txt	faces=7	max_face=15	vertices=31	edges=36	base_points=7 subdivisions=2 seed=567302134
case_026.txt	faces=7	max_face=15	vertices=31	edges=36	base_points=7 subdivisions=2 seed=1914995392
case_027.txt	faces=7	max_face=15	vertices=31	edges=36	base_points=7 subdivisions=2 seed=247366904
case_028.txt	faces=7	max_face=15	vertices=31	edges=36	base_points=7 subdivisions=2 seed=915248219
case_029.txt	faces=7	max_face=15	vertices=34	edges=39	base_points=8 subdivisions=2 seed=1021053214
case_030.txt	faces=7	max_face=15	vertices=31	edges=36	base_points=7 subdivisions=2 seed=1035312700
case_031.txt	faces=7	max_face=15	vertices=34	edges=39	base_points=8 subdivisions=2 seed=1188457735
case_032.txt	faces=7	max_face=15	vertices=34	edges=39	base_points=8 subdivisions=2 seed=1487806330
case_033.txt	faces=8	max_face=9	vertices=30	edges=36	base_points=6 subdivisions=2 seed=1968925828
case_034.txt	faces=8	max_face=9	vertices=30	edges=36	base_points=6 subdivisions=2 seed=99322369
case_035.txt	faces=8	max_face=12	vertices=33	edges=39	base_points=7 subdivisions=2 seed=1652796019
case_036.txt	faces=8	max_face=12	vertices=33	edges=39	base_points=7 subdivisions=2 seed=301363066
case_037.txt	faces=8	max_face=12	vertices=33	edges=39	base_points=7 subdivisions=2 seed=508145564
case_038.txt	faces=8	max_face=15	vertices=33	edges=39	base_points=7 subdivisions=2 seed=760442665
case_039.txt	faces=8	max_face=15	vertices=33	edges=39	base_points=7 subdivisions=2 seed=692513997
case_040.txt	faces=8	max_face=15	vertices=36	edges=42	base_points=8 subdivisions=2 seed=975766191
case_041.txt	faces=8	max_face=15	vertices=36	edges=42	base_points=8 subdivisions=2 seed=1756256229
case_042.txt	faces=8	max_face=15	vertices=36	edges=42	base_points=8 subdivisions=2 seed=461298495
case_043.txt	faces=8	max_face=15	vertices=33	edges=39	base_points=7 subdivisions=2 seed=1326549526
case_044.txt	faces=8	max_face=15	vertices=36	edges=42	base_points=8 subdivisions=2 seed=1804087737
case_045.txt	faces=8	max_face=15	vertices=33	edges=39	base_points=7 subdivisions=2 seed=2066984369
case_046.txt	faces=8	max_face=15	vertices=33	edges=39	base_points=7 subdivisions=2 seed=1651013253
case_047.txt	faces=8	max_face=15	vertices=33	edges=39	base_points=7 subdivisions=2 seed=1072640949
case_048.txt	faces=8	max_face=15	vertices=33	edges=39	base_points=7 subdivisions=2 seed=1144214609
case_049.txt	faces=8	max_face=15	vertices=36	edges=42	base_points=8 subdivisions=2 seed=159728273
