filename,startTime,endTime,totalTimeSeconds,triangulationCountA,triangulationCountB,newStoredCount,oldStoredCount,newSpaceExceeded,oldSpaceExceeded,xxHashXorA,xxHashXorB,xxHashSumA,xxHashSumB,sipHashXorA,sipHashXorB,sipHashSumA,sipHashSumB,sha256XorA,sha256XorB,sha256SumA,sha256SumB,triangulationCountMatch,hashMatch,exactMatch,matched
case_001.txt,2026-08-31 21:32:06,2026-08-31 21:32:06,0.005,68,68,68,68,NO,NO,0x0000000000000000,0x0000000000000000,0xCBFCC661BA0F54F0,0xCBFCC661BA0F54F0,0x0000000000000000,0x0000000000000000,0x230E21DE83A4427C,0x230E21DE83A4427C,0x0000000000000000|0x0000000000000000|0x0000000000000000|0x0000000000000000,0x0000000000000000|0x0000000000000000|0x0000000000000000|0x0000000000000000,0xA01B0025E48D37D8|0xB5EF2E06FFAA91DA|0x141E67BB054DC9B8|0x6C3E4C964401C8E2,0xA01B0025E48D37D8|0xB5EF2E06FFAA91DA|0x141E67BB054DC9B8|0x6C3E4C964401C8E2,MATCHED,MATCHED,MATCHED,MATCHED
case_002.txt,2026-08-31 21:32:06,2026-08-31 21:32:07,0.835,8460,8460,8460,8460,NO,NO,0x5029A57CABAA1F5B,0x5029A57CABAA1F5B,0x577CAD5679A5436D,0x577CAD5679A5436D,0x88CBB5184B2802A2,0x88CBB5184B2802A2,0x4ACFA55B76719B4C,0x4ACFA55B76719B4C,0x5085266DFED93ACD|0x19AE993BE13C43E6|0x443CA2DBC2AF2BF7|0x73A08E5674ECA68F,0x5085266DFED93ACD|0x19AE993BE13C43E6|0x443CA2DBC2AF2BF7|0x73A08E5674ECA68F,0xC94ABAD776D4EEBD|0x296D577237C12D44|0x39B1A38A2A7BE5E5|0xEDF30F1DFE0229DB,0xC94ABAD776D4EEBD|0x296D577237C12D44|0x39B1A38A2A7BE5E5|0xEDF30F1DFE0229DB,MATCHED,MATCHED,MATCHED,MATCHED
case_003.txt,2026-08-31 21:32:07,2026-08-31 21:32:09,2.197,17408,17408,17408,17408,NO,NO,0x7C5E1A548C79CB96,0x7C5E1A548C79CB96,0x6889BFD432665A74,0x6889BFD432665A74,0xC2115007605DFC15,0xC2115007605DFC15,0x50CFA5F922092397,0x50CFA5F922092397,0x134A709A2A8F6459|0x693BBD2C9C8E9D46|0x7D520E4D9EDD7543|0x276910E845C9AEDA,0x134A709A2A8F6459|0x693BBD2C9C8E9D46|0x7D520E4D9EDD7543|0x276910E845C9AEDA,0x0F4128D076E967ED|0x6EC6434D2876D062|0x9BCA527D26ABCF77|0xE6A266DB5A536B16,0x0F4128D076E967ED|0x6EC6434D2876D062|0x9BCA527D26ABCF77|0xE6A266DB5A536B16,MATCHED,MATCHED,MATCHED,MATCHED
case_004.txt,2026-08-31 21:32:10,2026-08-31 21:33:50,100.134,1005590,1005590,1005590,1005590,NO,NO,0xB7D292E0F35614CF,0xB7D292E0F35614CF,0x4C0B45066E535035,0x4C0B45066E535035,0x1CA4BCC779B0E94E,0x1CA4BCC779B0E94E,0x02628C33F4D88376,0x02628C33F4D88376,0x9FE427B1444D7C4B|0x18298F95E71C040B|0x07BD5AFBBD3273A0|0x146D8A93A86DB133,0x9FE427B1444D7C4B|0x18298F95E71C040B|0x07BD5AFBBD3273A0|0x146D8A93A86DB133,0xBE45790E892BE571|0x18C35B325D23FC71|0xA2D557E203491052|0xC83E7A489A0973FF,0xBE45790E892BE571|0x18C35B325D23FC71|0xA2D557E203491052|0xC83E7A489A0973FF,MATCHED,MATCHED,MATCHED,MATCHED
case_005.txt,2026-08-31 21:34:06,2026-08-31 21:36:28,141.997,1375004,1375004,1375004,1375004,NO,NO,0x2844E9AC5088A71F,0x2844E9AC5088A71F,0x6CEF0170E083C6CF,0x6CEF0170E083C6CF,0x7988C2E8D93A5529,0x7988C2E8D93A5529,0x8EED40D05A630141,0x8EED40D05A630141,0x5F0383E115C7408E|0xB1DEA60BA5DA7A52|0xFE951A282BB93359|0xE1477B09C1A7756E,0x5F0383E115C7408E|0xB1DEA60BA5DA7A52|0xFE951A282BB93359|0xE1477B09C1A7756E,0xE5A079A1F5BDF676|0xFB531365F499C7FE|0x117B9EFF60994EED|0x37EC075E3D810AE0,0xE5A079A1F5BDF676|0xFB531365F499C7FE|0x117B9EFF60994EED|0x37EC075E3D810AE0,MATCHED,MATCHED,MATCHED,MATCHED
case_006.txt,2026-08-31 21:36:52,2026-08-31 21:40:05,192.870,1867652,1867652,1867652,1867652,NO,NO,0xC394839D73E7D367,0xC394839D73E7D367,0x5124CB910CA1CD05,0x5124CB910CA1CD05,0xC813224E70A9D3AC,0xC813224E70A9D3AC,0x4355FE2075F7E51C,0x4355FE2075F7E51C,0x89E9EC4674FFB4CC|0x436E1FCB5D484F2E|0x1AA1C19C21542F03|0x5B441218CB891D6D,0x89E9EC4674FFB4CC|0x436E1FCB5D484F2E|0x1AA1C19C21542F03|0x5B441218CB891D6D,0x46399F5C8D666752|0x04D43655D5BD3A2C|0x4058358ED7966439|0x0B562E4C5174D5B5,0x46399F5C8D666752|0x04D43655D5BD3A2C|0x4058358ED7966439|0x0B562E4C5174D5B5,MATCHED,MATCHED,MATCHED,MATCHED
case_007.txt,2026-08-31 21:40:37,2026-08-31 23:47:36,7619.074,76675078,76675078,11184810,11184810,YES,YES,0x1AC4C892EEF23F07,0x1AC4C892EEF23F07,0x81234FA3B5F71E13,0x81234FA3B5F71E13,0x553DB0502A408438,0x553DB0502A408438,0x259B3D54E7D0BF96,0x259B3D54E7D0BF96,0x13D2F06071C2F21C|0x68A1651F0D9D8FEE|0xF5010884C67CE466|0xC60885B8760F4C57,0x13D2F06071C2F21C|0x68A1651F0D9D8FEE|0xF5010884C67CE466|0xC60885B8760F4C57,0x6029B5990DC5E3EE|0x262304701704EE02|0xFEE6AE326442E85E|0x62281F473995EB03,0x6029B5990DC5E3EE|0x262304701704EE02|0xFEE6AE326442E85E|0x62281F473995EB03,MATCHED,MATCHED,NOT_RUN,MATCHED
case_008.txt,2026-08-31 23:47:40,2026-09-01 01:52:02,7462.577,76675078,76675078,11184810,11184810,YES,YES,0x2027E49F9BFFA916,0x2027E49F9BFFA916,0x86CAAF48C763C3CE,0x86CAAF48C763C3CE,0x2E3094A3C18A2BD0,0x2E3094A3C18A2BD0,0x86C203B50E9D5D86,0x86C203B50E9D5D86,0x06F2E1DF1DCAC606|0xABDD5E3F284478C0|0xBB74A900A6DB8F3E|0x99615449F59AA836,0x06F2E1DF1DCAC606|0xABDD5E3F284478C0|0xBB74A900A6DB8F3E|0x99615449F59AA836,0xD382DAD782243CD4|0xEC9EC0173B68DC7C|0x138D53D8B6B3B586|0x760F3D6A54308722,0xD382DAD782243CD4|0xEC9EC0173B68DC7C|0x138D53D8B6B3B586|0x760F3D6A54308722,MATCHED,MATCHED,NOT_RUN,MATCHED
case_009.txt,2026-09-01 01:52:05,2026-09-01 04:04:44,7958.536,81820780,81820780,11184810,11184810,YES,YES,0xE07E396AD2434661,0xE07E396AD2434661,0x84A2653A68AAA8FB,0x84A2653A68AAA8FB,0xACEFD6466765DE86,0xACEFD6466765DE86,0x660DA0DC09DC7D3A,0x660DA0DC09DC7D3A,0xB9F1E43C8F64BFF4|0x9584B76C5AD31780|0xDE436B60A636D61B|0x69E30CA2992C2393,0xB9F1E43C8F64BFF4|0x9584B76C5AD31780|0xDE436B60A636D61B|0x69E30CA2992C2393,0x0604D66FAF72ED04|0x55FFCF5C48E07024|0x6DCF0A848921A025|0xB366A0EF8F054895,0x0604D66FAF72ED04|0x55FFCF5C48E07024|0x6DCF0A848921A025|0xB366A0EF8F054895,MATCHED,MATCHED,NOT_RUN,MATCHED
case_010.txt,2026-09-01 04:04:47,2026-09-01 04:08:41,233.759,2296832,2296832,2296832,2296832,NO,NO,0xE8FE69EB6A4E6ADF,0xE8FE69EB6A4E6ADF,0xEC7DDC0D75AB4241,0xEC7DDC0D75AB4241,0xD16467F320AA395A,0xD16467F320AA395A,0x490ADB81C837500C,0x490ADB81C837500C,0x7F4753960AF4CB75|0xF2B1392576005226|0x90EA29DBEB639304|0xC5C6207981DAACF3,0x7F4753960AF4CB75|0xF2B1392576005226|0x90EA29DBEB639304|0xC5C6207981DAACF3,0x2212EA7D9559848B|0xFA842A4ABD9629D0|0x1E90F8F738E7A996|0xAFFAE9706F14869D,0x2212EA7D9559848B|0xFA842A4ABD9629D0|0x1E90F8F738E7A996|0xAFFAE9706F14869D,MATCHED,MATCHED,MATCHED,MATCHED
