filename,startTime,endTime,totalTimeSeconds,triangulationCountA,triangulationCountB,newStoredCount,oldStoredCount,newSpaceExceeded,oldSpaceExceeded,xxHashXorA,xxHashXorB,xxHashSumA,xxHashSumB,sipHashXorA,sipHashXorB,sipHashSumA,sipHashSumB,sha256XorA,sha256XorB,sha256SumA,sha256SumB,triangulationCountMatch,hashMatch,exactMatch,matched
case_001.txt,2026-08-31 23:44:20,2026-08-31 23:44:20,0.000,1,1,1,1,NO,NO,0x3AD50A3A77644FF9,0x3AD50A3A77644FF9,0x3AD50A3A77644FF9,0x3AD50A3A77644FF9,0x7388B777EFE9B314,0x7388B777EFE9B314,0x7388B777EFE9B314,0x7388B777EFE9B314,0x141CFC9842C4B0E3|0x24B96F99C8F4FB9A|0x4C939B64E441AE27|0x55B852781B9995A4,0x141CFC9842C4B0E3|0x24B96F99C8F4FB9A|0x4C939B64E441AE27|0x55B852781B9995A4,0x141CFC9842C4B0E3|0x24B96F99C8F4FB9A|0x4C939B64E441AE27|0x55B852781B9995A4,0x141CFC9842C4B0E3|0x24B96F99C8F4FB9A|0x4C939B64E441AE27|0x55B852781B9995A4,MATCHED,MATCHED,MATCHED,MATCHED
case_002.txt,2026-08-31 23:44:20,2026-08-31 23:44:20,0.000,2,2,2,2,NO,NO,0x0000000000000000,0x0000000000000000,0x37A68E5F8F38901A,0x37A68E5F8F38901A,0x0000000000000000,0x0000000000000000,0x2C6B724E631B6D1A,0x2C6B724E631B6D1A,0x0000000000000000|0x0000000000000000|0x0000000000000000|0x0000000000000000,0x0000000000000000|0x0000000000000000|0x0000000000000000|0x0000000000000000,0x118DF34CFDC0A478|0xBC2B5828C23D25EE|0x8DBBCEDE5F258A26|0x3C544C851D8285C4,0x118DF34CFDC0A478|0xBC2B5828C23D25EE|0x8DBBCEDE5F258A26|0x3C544C851D8285C4,MATCHED,MATCHED,MATCHED,MATCHED
case_003.txt,2026-08-31 23:44:20,2026-08-31 23:44:20,0.000,10,10,10,10,NO,NO,0x0000000000000000,0x0000000000000000,0xB6A30346DF81DD8A,0xB6A30346DF81DD8A,0x0000000000000000,0x0000000000000000,0x2D7B41A4E763F990,0x2D7B41A4E763F990,0x0000000000000000|0x0000000000000000|0x0000000000000000|0x0000000000000000,0x0000000000000000|0x0000000000000000|0x0000000000000000|0x0000000000000000,0xA4ED3EC97AC039D6|0x504AA3118F095402|0x0C31DA4BD7F39E50|0x8009442BC6A442E2,0xA4ED3EC97AC039D6|0x504AA3118F095402|0x0C31DA4BD7F39E50|0x8009442BC6A442E2,MATCHED,MATCHED,MATCHED,MATCHED
case_004.txt,2026-08-31 23:44:20,2026-08-31 23:44:20,0.002,68,68,68,68,NO,NO,0x0000000000000000,0x0000000000000000,0x98C61B6A929F727A,0x98C61B6A929F727A,0x0000000000000000,0x0000000000000000,0x411F1BE84018C458,0x411F1BE84018C458,0x0000000000000000|0x0000000000000000|0x0000000000000000|0x0000000000000000,0x0000000000000000|0x0000000000000000|0x0000000000000000|0x0000000000000000,0x4F792F655A5286B8|0xAD39D1801CD2CFD0|0xC8DE3185C9AFD7B6|0xFC64D08DEC52C756,0x4F792F655A5286B8|0xAD39D1801CD2CFD0|0xC8DE3185C9AFD7B6|0xFC64D08DEC52C756,MATCHED,MATCHED,MATCHED,MATCHED
case_005.txt,2026-08-31 23:44:20,2026-08-31 23:44:20,0.016,546,546,546,546,NO,NO,0x0000000000000000,0x0000000000000000,0x3493C66F0DA10ACC,0x3493C66F0DA10ACC,0x0000000000000000,0x0000000000000000,0xDA6437D547DE3EBE,0xDA6437D547DE3EBE,0x0000000000000000|0x0000000000000000|0x0000000000000000|0x0000000000000000,0x0000000000000000|0x0000000000000000|0x0000000000000000|0x0000000000000000,0x0EA8B71E0433476E|0xBA96C19DD454C278|0xF8160626A8814B7C|0x5DEF2631554F7356,0x0EA8B71E0433476E|0xBA96C19DD454C278|0xF8160626A8814B7C|0x5DEF2631554F7356,MATCHED,MATCHED,MATCHED,MATCHED
case_006.txt,2026-08-31 23:44:20,2026-08-31 23:44:21,0.157,4872,4872,4872,4872,NO,NO,0x0000000000000000,0x0000000000000000,0xF59347F187A781BC,0xF59347F187A781BC,0x0000000000000000,0x0000000000000000,0x79786C708EA451F2,0x79786C708EA451F2,0x0000000000000000|0x0000000000000000|0x0000000000000000|0x0000000000000000,0x0000000000000000|0x0000000000000000|0x0000000000000000|0x0000000000000000,0xB6E296A192C60586|0xBB1AF786C3F21452|0xAEEC84680A5E7B86|0x99A4703C72B8AA6C,0xB6E296A192C60586|0xBB1AF786C3F21452|0xAEEC84680A5E7B86|0x99A4703C72B8AA6C,MATCHED,MATCHED,MATCHED,MATCHED
case_007.txt,2026-08-31 23:44:21,2026-08-31 23:44:22,1.465,46782,46782,46782,46782,NO,NO,0x0000000000000000,0x0000000000000000,0x65C70B4153FD7F8A,0x65C70B4153FD7F8A,0x0000000000000000,0x0000000000000000,0x7D69EB6B24B80DB6,0x7D69EB6B24B80DB6,0x0000000000000000|0x0000000000000000|0x0000000000000000|0x0000000000000000,0x0000000000000000|0x0000000000000000|0x0000000000000000|0x0000000000000000,0xD59BE285BF567D5C|0x30E24A1F7BB69EA4|0xBAC7C85C520CFEB0|0x7CA16595A675FE00,0xD59BE285BF567D5C|0x30E24A1F7BB69EA4|0xBAC7C85C520CFEB0|0x7CA16595A675FE00,MATCHED,MATCHED,MATCHED,MATCHED
case_008.txt,2026-08-31 23:44:22,2026-08-31 23:44:41,18.796,474180,474180,474180,474180,NO,NO,0x0000000000000000,0x0000000000000000,0x9138933EFFEA518E,0x9138933EFFEA518E,0x0000000000000000,0x0000000000000000,0x1393FF443036AA26,0x1393FF443036AA26,0x0000000000000000|0x0000000000000000|0x0000000000000000|0x0000000000000000,0x0000000000000000|0x0000000000000000|0x0000000000000000|0x0000000000000000,0x38D1E8AD3A66D24A|0x4BC7936F5DFE8C7C|0x76808461A521C9B6|0x9D3471B7EBFD237E,0x38D1E8AD3A66D24A|0x4BC7936F5DFE8C7C|0x76808461A521C9B6|0x9D3471B7EBFD237E,MATCHED,MATCHED,MATCHED,MATCHED
case_009.txt,2026-08-31 23:44:45,2026-08-31 23:48:59,253.137,5010456,5010456,5010456,5010456,NO,NO,0x0000000000000000,0x0000000000000000,0x8881145C2A0AF06A,0x8881145C2A0AF06A,0x0000000000000000,0x0000000000000000,0xF2AAF0DB7AC3538A,0xF2AAF0DB7AC3538A,0x0000000000000000|0x0000000000000000|0x0000000000000000|0x0000000000000000,0x0000000000000000|0x0000000000000000|0x0000000000000000|0x0000000000000000,0x6171579ABB56FA9E|0x72B30F563F520070|0x4F517493AB3750C4|0x98DDC68A8C930BCC,0x6171579ABB56FA9E|0x72B30F563F520070|0x4F517493AB3750C4|0x98DDC68A8C930BCC,MATCHED,MATCHED,MATCHED,MATCHED
case_010.txt,2026-08-31 23:50:02,2026-09-01 00:36:33,2791.013,54721224,54721224,12782640,12782640,YES,YES,0x0000000000000000,0x0000000000000000,0xBBDDF2EA04D6C23E,0xBBDDF2EA04D6C23E,0x0000000000000000,0x0000000000000000,0x7FC4A52396184FE6,0x7FC4A52396184FE6,0x0000000000000000|0x0000000000000000|0x0000000000000000|0x0000000000000000,0x0000000000000000|0x0000000000000000|0x0000000000000000|0x0000000000000000,0x62B3540A0A1037EC|0x6B24BFA5405C52CA|0x9007660FF0A62002|0x8B99129EE902DA7A,0x62B3540A0A1037EC|0x6B24BFA5405C52CA|0x9007660FF0A62002|0x8B99129EE902DA7A,MATCHED,MATCHED,NOT_RUN,MATCHED
