case_001.txt	faces=2	max_face=6	vertices=6	edges=6	base_points=3 subdivisions=1 seed=568896616
case_002.txt	faces=3	max_face=8	vertices=9	edges=10	base_points=4 subdivisions=1 seed=1840109255
case_003.txt	faces=4	max_face=6	vertices=10	edges=12	base_points=4 subdivisions=1 seed=1813163240
case_004.txt	faces=4	max_face=10	vertices=12	edges=14	base_points=5 subdivisions=1 seed=766942939
case_005.txt	faces=5	max_face=8	vertices=13	edges=16	base_points=5 subdivisions=1 seed=1541804686
case_006.txt	faces=5	max_face=8	vertices=13	edges=16	base_points=5 subdivisions=1 seed=637108294
case_007.txt	faces=5	max_face=10	vertices=15	edges=18	base_points=6 subdivisions=1 seed=28336833
case_008.txt	faces=5	max_face=10	vertices=15	edges=18	base_points=6 subdivisions=1 seed=920299834
case_009.txt	faces=5	max_face=12	vertices=15	edges=18	base_points=6 subdivisions=1 seed=186566008
case_010.txt	faces=6	max_face=6	vertices=14	edges=18	base_points=5 subdivisions=1 seed=967847466
case_011.txt	faces=6	max_face=10	vertices=16	edges=20	base_points=6 subdivisions=1 seed=438989805
case_012.txt	faces=6	max_face=10	vertices=18	edges=22	base_points=7 subdivisions=1 seed=630780803
case_013.txt	faces=6	max_face=10	vertices=16	edges=20	base_points=6 subdivisions=1 seed=1079174053
case_014.txt	faces=6	max_face=12	vertices=18	edges=22	base_points=7 subdivisions=1 seed=1806824124
case_015.txt	faces=6	max_face=12	vertices=18	edges=22	base_points=7 subdivisions=1 seed=727923480
case_016.txt	faces=7	max_face=8	vertices=19	edges=24	base_points=7 subdivisions=1 seed=1221411520
case_017.txt	faces=7	max_face=8	vertices=17	edges=22	base_points=6 subdivisions=1 seed=753162653
case_018.txt	faces=7	max_face=8	vertices=17	edges=22	base_points=6 subdivisions=1 seed=176744138
case_019.txt	faces=7	max_face=10	vertices=19	edges=24	base_points=7 subdivisions=1 seed=537886416
case_020.txt	faces=7	max_face=12	vertices=19	edges=24	base_points=7 subdivisions=1 seed=530924113
case_021.txt	faces=7	max_face=12	vertices=19	edges=24	base_points=7 subdivisions=1 seed=924332531
case_022.txt	faces=7	max_face=12	vertices=19	edges=24	base_points=7 subdivisions=1 seed=1673161789
case_023.txt	faces=8	max_face=6	vertices=18	edges=24	base_points=6 subdivisions=1 seed=1550761818
case_024.txt	faces=8	max_face=6	vertices=18	edges=24	base_points=6 subdivisions=1 seed=2113929257
case_025.txt	faces=8	max_face=8	vertices=20	edges=26	base_points=7 subdivisions=1 seed=692392816
case_026.txt	faces=8	max_face=10	vertices=20	edges=26	base_points=7 subdivisions=1 seed=1617740533
case_027.txt	faces=8	max_face=10	vertices=20	edges=26	base_points=7 subdivisions=1 seed=148988494
case_028.txt	faces=8	max_face=10	vertices=20	edges=26	base_points=7 subdivisions=1 seed=1477986501
case_029.txt	faces=8	max_face=12	vertices=22	edges=28	base_points=8 subdivisions=1 seed=2091054466
case_030.txt	faces=9	max_face=8	vertices=21	edges=28	base_points=7 subdivisions=1 seed=1120016279
case_031.txt	faces=9	max_face=8	vertices=21	edges=28	base_points=7 subdivisions=1 seed=145271935
case_032.txt	faces=9	max_face=10	vertices=23	edges=30	base_points=8 subdivisions=1 seed=1592724766
case_033.txt	faces=9	max_face=12	vertices=23	edges=30	base_points=8 subdivisions=1 seed=815605132
case_034.txt	faces=9	max_face=12	vertices=23	edges=30	base_points=8 subdivisions=1 seed=1442969253
case_035.txt	faces=10	max_face=10	vertices=24	edges=32	base_points=8 subdivisions=1 seed=1146660997
case_036.txt	faces=10	max_face=10	vertices=24	edges=32	base_points=8 subdivisions=1 seed=835479352
case_037.txt	faces=10	max_face=10	vertices=24	edges=32	base_points=8 subdivisions=1 seed=157771113
case_038.txt	faces=10	max_face=12	vertices=26	edges=34	base_points=9 subdivisions=1 seed=1534875624
case_039.txt	faces=10	max_face=12	vertices=26	edges=34	base_points=9 subdivisions=1 seed=1288099454
case_040.txt	faces=10	max_face=12	vertices=26	edges=34	base_points=9 subdivisions=1 seed=1512331549
case_041.txt	faces=10	max_face=14	vertices=26	edges=34	base_points=9 subdivisions=1 seed=1890743044
case_042.txt	faces=11	max_face=8	vertices=25	edges=34	base_points=8 subdivisions=1 seed=1259191105
case_043.txt	faces=11	max_face=8	vertices=25	edges=34	base_points=8 subdivisions=1 seed=1206067650
case_044.txt	faces=11	max_face=10	vertices=27	edges=36	base_points=9 subdivisions=1 seed=234364203
case_045.txt	faces=11	max_face=12	vertices=27	edges=36	base_points=9 subdivisions=1 seed=1803005854
case_046.txt	faces=11	max_face=14	vertices=29	edges=38	base_points=10 subdivisions=1 seed=1849482575
case_047.txt	faces=12	max_face=10	vertices=28	edges=38	base_points=9 subdivisions=1 seed=338258951
case_048.txt	faces=12	max_face=10	vertices=28	edges=38	base_points=9 subdivisions=1 seed=294296873
case_049.txt	faces=12	max_face=10	vertices=30	edges=40	base_points=10 subdivisions=1 seed=1695209898
case_050.txt	faces=12	max_face=10	vertices=28	edges=38	base_points=9 subdivisions=1 seed=1207482097
case_051.txt	faces=12	max_face=14	vertices=30	edges=40	base_points=10 subdivisions=1 seed=1925988293
case_052.txt	faces=12	max_face=14	vertices=30	edges=40	base_points=10 subdivisions=1 seed=288921483
case_053.txt	faces=13	max_face=8	vertices=29	edges=40	base_points=9 subdivisions=1 seed=71838242
case_054.txt	faces=13	max_face=8	vertices=29	edges=40	base_points=9 subdivisions=1 seed=688669432
case_055.txt	faces=13	max_face=14	vertices=33	edges=44	base_points=11 subdivisions=1 seed=298159856
case_056.txt	faces=13	max_face=14	vertices=33	edges=44	base_points=11 subdivisions=1 seed=481141898
case_057.txt	faces=13	max_face=16	vertices=33	edges=44	base_points=11 subdivisions=1 seed=1343989841
case_058.txt	faces=14	max_face=10	vertices=32	edges=44	base_points=10 subdivisions=1 seed=1137651678
case_059.txt	faces=14	max_face=10	vertices=32	edges=44	base_points=10 subdivisions=1 seed=1779466167
case_060.txt	faces=14	max_face=10	vertices=32	edges=44	base_points=10 subdivisions=1 seed=517376881
case_061.txt	faces=14	max_face=12	vertices=34	edges=46	base_points=11 subdivisions=1 seed=1011403062
case_062.txt	faces=14	max_face=12	vertices=34	edges=46	base_points=11 subdivisions=1 seed=523947112
case_063.txt	faces=14	max_face=18	vertices=36	edges=48	base_points=12 subdivisions=1 seed=1418304567
case_064.txt	faces=15	max_face=12	vertices=35	edges=48	base_points=11 subdivisions=1 seed=1846355528
