filename,runIndex,vertices,triangulations,timeSeconds,peakMemoryBytes,memoryPerVertex,startTime,endTime,status,totalChecks,successfulChecks,failedChecks,checkSuccessRate,invalidTraversals,totalTraversalsExtended,traversalSuccessRate
case_001.txt,1,9,46782,0.027023786,159744,17749.333333,2026-09-10 15:53:46,2026-09-10 15:53:46,completed,74264,46781,27483,62.99,0,46782,100.00
case_001.txt,2,9,46782,0.026297275,278528,30947.555556,2026-09-10 15:53:46,2026-09-10 15:53:46,completed,74264,46781,27483,62.99,0,46782,100.00
case_001.txt,3,9,46782,0.027189641,217088,24120.888889,2026-09-10 15:53:46,2026-09-10 15:53:47,completed,74264,46781,27483,62.99,0,46782,100.00
case_001.txt,4,9,46782,0.027626640,282624,31402.666667,2026-09-10 15:53:47,2026-09-10 15:53:47,completed,74264,46781,27483,62.99,0,46782,100.00
case_001.txt,5,9,46782,0.028787332,217088,24120.888889,2026-09-10 15:53:47,2026-09-10 15:53:47,completed,74264,46781,27483,62.99,0,46782,100.00
case_002.txt,1,14,661213332,322.353543483,155648,11117.714286,2026-09-10 15:53:47,2026-09-10 15:59:10,completed,861835551,661213331,200622220,76.72,0,661213332,100.00
case_002.txt,2,14,661213332,324.947941514,278528,19894.857143,2026-09-10 15:59:10,2026-09-10 16:04:35,completed,861835551,661213331,200622220,76.72,0,661213332,100.00
case_002.txt,3,14,661213332,328.740179010,217088,15506.285714,2026-09-10 16:04:35,2026-09-10 16:10:04,completed,861835551,661213331,200622220,76.72,0,661213332,100.00
case_002.txt,4,14,661213332,325.060709675,151552,10825.142857,2026-09-10 16:10:04,2026-09-10 16:15:29,completed,861835551,661213331,200622220,76.72,0,661213332,100.00
case_002.txt,5,14,661213332,323.505348640,278528,19894.857143,2026-09-10 16:15:29,2026-09-10 16:20:52,completed,861835551,661213331,200622220,76.72,0,661213332,100.00
case_003.txt,1,16,723544826,360.024228129,0,0.000000,2026-09-10 16:20:52,2026-09-10 16:26:52,time_limit_exceeded,860046622,723544826,136501796,84.13,0,723544826,100.00
