filename,runIndex,vertices,triangulations,timeSeconds,peakMemoryBytes,memoryPerVertex,startTime,endTime,status,totalChecks,successfulChecks,failedChecks,checkSuccessRate,invalidTraversals,totalTraversalsExtended,traversalSuccessRate
case_001.txt,1,3,1,0.000001690,151552,50517.333333,2026-09-10 15:53:59,2026-09-10 15:53:59,completed,0,0,0,0.00,0,1,100.00
case_001.txt,2,3,1,0.000001550,217088,72362.666667,2026-09-10 15:53:59,2026-09-10 15:53:59,completed,0,0,0,0.00,0,1,100.00
case_001.txt,3,3,1,0.000001380,212992,70997.333333,2026-09-10 15:53:59,2026-09-10 15:53:59,completed,0,0,0,0.00,0,1,100.00
case_001.txt,4,3,1,0.000001540,278528,92842.666667,2026-09-10 15:53:59,2026-09-10 15:53:59,completed,0,0,0,0.00,0,1,100.00
case_001.txt,5,3,1,0.000001060,282624,94208.000000,2026-09-10 15:53:59,2026-09-10 15:53:59,completed,0,0,0,0.00,0,1,100.00
case_002.txt,1,4,2,0.000005330,217088,54272.000000,2026-09-10 15:53:59,2026-09-10 15:53:59,completed,3,1,2,33.33,0,2,100.00
case_002.txt,2,4,2,0.000005290,86016,21504.000000,2026-09-10 15:53:59,2026-09-10 15:53:59,completed,3,1,2,33.33,0,2,100.00
case_002.txt,3,4,2,0.000003640,151552,37888.000000,2026-09-10 15:53:59,2026-09-10 15:53:59,completed,3,1,2,33.33,0,2,100.00
case_002.txt,4,4,2,0.000005280,217088,54272.000000,2026-09-10 15:53:59,2026-09-10 15:53:59,completed,3,1,2,33.33,0,2,100.00
case_002.txt,5,4,2,0.000004350,212992,53248.000000,2026-09-10 15:53:59,2026-09-10 15:53:59,completed,3,1,2,33.33,0,2,100.00
case_003.txt,1,5,10,0.000015900,151552,30310.400000,2026-09-10 15:53:59,2026-09-10 15:53:59,completed,19,9,10,47.37,0,10,100.00
case_003.txt,2,5,10,0.000015570,217088,43417.600000,2026-09-10 15:53:59,2026-09-10 15:54:00,completed,19,9,10,47.37,0,10,100.00
case_003.txt,3,5,10,0.000014640,94208,18841.600000,2026-09-10 15:54:00,2026-09-10 15:54:00,completed,19,9,10,47.37,0,10,100.00
case_003.txt,4,5,10,0.000015770,94208,18841.600000,2026-09-10 15:54:00,2026-09-10 15:54:00,completed,19,9,10,47.37,0,10,100.00
case_003.txt,5,5,10,0.000015211,282624,56524.800000,2026-09-10 15:54:00,2026-09-10 15:54:00,completed,19,9,10,47.37,0,10,100.00
case_004.txt,1,6,68,0.000057880,217088,36181.333333,2026-09-10 15:54:00,2026-09-10 15:54:00,completed,125,67,58,53.60,0,68,100.00
