Filename,Algo Total,Brute Force Total,Ratio (Algo/BF),Total Checks,Successful Checks,Failed Checks,Check Success Rate (%),Total Traversals,Successful Traversals,Invalid Traversals,Traversal Success Rate (%),Status
C4_square_cycle.txt,2,2,1.0000,3,1,2,33.33,2,2,0,100.00,MATCHED
C5_pentagon_cycle.txt,10,10,1.0000,19,9,10,47.37,10,10,0,100.00,MATCHED
C6_hexagon_cycle_1.txt,68,68,1.0000,125,67,58,53.60,68,68,0,100.00,MATCHED
C6_hexagon_cycle_2.txt,68,68,1.0000,125,67,58,53.60,68,68,0,100.00,MATCHED
C6_hexagon_cycle_3.txt,68,68,1.0000,125,67,58,53.60,68,68,0,100.00,MATCHED
C7_heptagon_cycle.txt,546,546,1.0000,943,545,398,57.79,546,546,0,100.00,MATCHED
C8_octagon_cycle.txt,4872,4872,1.0000,8008,4871,3137,60.83,4872,4872,0,100.00,MATCHED
C9_nonagon_cycle.txt,46782,46782,1.0000,74264,46781,27483,62.99,46782,46782,0,100.00,MATCHED
complex.txt,1282136,1282136,1.0000,1738397,1282135,456262,73.75,1282136,1282136,0,100.00,MATCHED
diamond_1.txt,1,1,1.0000,1,0,1,0.00,1,1,0,100.00,MATCHED
diamond_2.txt,1,1,1.0000,1,0,1,0.00,1,1,0,100.00,MATCHED
diamond_3.txt,1,1,1.0000,1,0,1,0.00,1,1,0,100.00,MATCHED
graph_V12E25F12.txt,62,62,1.0000,103,61,42,59.22,62,62,0,100.00,MATCHED
graph_V5E6F3.txt,4,4,1.0000,7,3,4,42.86,4,4,0,100.00,MATCHED
graph_V5E7F3.txt,2,2,1.0000,3,1,2,33.33,2,2,0,100.00,MATCHED
graph_V5E7F4_1.txt,2,2,1.0000,3,1,2,33.33,2,2,0,100.00,MATCHED
graph_V5E7F4_2.txt,1,1,1.0000,1,0,1,0.00,1,1,0,100.00,MATCHED
graph_V5E7F4_3.txt,2,2,1.0000,3,1,2,33.33,2,2,0,100.00,MATCHED
graph_V6E7F3_1.txt,20,20,1.0000,36,19,17,52.78,20,20,0,100.00,MATCHED
graph_V6E7F3_2.txt,24,24,1.0000,44,23,21,52.27,24,24,0,100.00,MATCHED
graph_V6E7F3_3.txt,20,20,1.0000,36,19,17,52.78,20,20,0,100.00,MATCHED
graph_V6E7F3_4.txt,20,20,1.0000,36,19,17,52.78,20,20,0,100.00,MATCHED
graph_V7E11F5.txt,7,7,1.0000,9,6,3,66.67,7,7,0,100.00,MATCHED
graph_V7E14F9.txt,2,2,1.0000,1,1,0,100.00,2,2,0,100.00,MATCHED
graph_V7E9F3.txt,9,9,1.0000,13,8,5,61.54,9,9,0,100.00,MATCHED
graph_V8E10F4.txt,40,40,1.0000,71,39,32,54.93,40,40,0,100.00,MATCHED
graph_V8E15F8.txt,5,5,1.0000,5,4,1,80.00,5,5,0,100.00,MATCHED
graph_V9E10F3.txt,13880,13880,1.0000,22440,13879,8561,61.85,13880,13880,0,100.00,MATCHED
hexagon_cycle.txt,68,68,1.0000,125,67,58,53.60,68,68,0,100.00,MATCHED
K2_3_bipartite.txt,4,4,1.0000,6,3,3,50.00,4,4,0,100.00,MATCHED
K3_triangle.txt,1,1,1.0000,0,0,0,0.00,1,1,0,100.00,MATCHED
K4_tetrahedron_1.txt,1,1,1.0000,0,0,0,0.00,1,1,0,100.00,MATCHED
K4_tetrahedron_2.txt,1,1,1.0000,0,0,0,0.00,1,1,0,100.00,MATCHED
octahedron_dual_tetrahedra.txt,1,1,1.0000,0,0,0,0.00,1,1,0,100.00,MATCHED
pentagon.txt,10,10,1.0000,19,9,10,47.37,10,10,0,100.00,MATCHED
quadrilateral_14quad.txt,16384,16384,1.0000,16383,16383,0,100.00,16384,16384,0,100.00,MATCHED
quadrilateral_4quad.txt,16,16,1.0000,15,15,0,100.00,16,16,0,100.00,MATCHED
quadrilateral_7quad.txt,72,72,1.0000,91,71,20,78.02,72,72,0,100.00,MATCHED
simple3.txt,4,4,1.0000,6,3,3,50.00,4,4,0,100.00,MATCHED
square.txt,2,2,1.0000,3,1,2,33.33,2,2,0,100.00,MATCHED
square_with_pentagon.txt,4,4,1.0000,7,3,4,42.86,4,4,0,100.00,MATCHED
triangulated_4tri_1.txt,1,1,1.0000,0,0,0,0.00,1,1,0,100.00,MATCHED
triangulated_4tri_2.txt,1,1,1.0000,0,0,0,0.00,1,1,0,100.00,MATCHED
triangulated_9tri.txt,1,1,1.0000,0,0,0,0.00,1,1,0,100.00,MATCHED
trople_rectangle.txt,4,4,1.0000,6,3,3,50.00,4,4,0,100.00,MATCHED
W4_wheel.txt,2,2,1.0000,1,1,0,100.00,2,2,0,100.00,MATCHED
W5_wheel_1.txt,5,5,1.0000,4,4,0,100.00,5,5,0,100.00,MATCHED
W5_wheel_2.txt,5,5,1.0000,4,4,0,100.00,5,5,0,100.00,MATCHED
