filename,runIndex,vertices,triangulations,timeSeconds,peakMemoryBytes,memoryPerVertex,startTime,endTime,status,totalChecks,successfulChecks,failedChecks,checkSuccessRate,invalidTraversals,totalTraversalsExtended,traversalSuccessRate
path03.txt,1,3,1,0.000006475,81920,27306.666667,2026-09-23 18:32:20,2026-09-23 18:32:20,completed,1,0,1,0.00,0,1,100.00
path04.txt,1,4,2,0.000015617,262144,65536.000000,2026-09-23 18:32:20,2026-09-23 18:32:20,completed,6,2,4,33.33,1,3,66.67
path04_v2.txt,1,4,2,0.000015767,262144,65536.000000,2026-09-23 18:32:20,2026-09-23 18:32:20,completed,6,2,4,33.33,1,3,66.67
path05.txt,1,5,12,0.000056451,208896,41779.200000,2026-09-23 18:32:20,2026-09-23 18:32:20,completed,35,16,19,45.71,5,17,70.59
path06.txt,1,6,100,0.000357852,262144,43690.666667,2026-09-23 18:32:20,2026-09-23 18:32:21,completed,250,132,118,52.80,33,133,75.19
path07.txt,1,7,972,0.003384732,147456,21065.142857,2026-09-23 18:32:21,2026-09-23 18:32:21,completed,2154,1236,918,57.38,265,1237,78.58
path08.txt,1,8,10320,0.034485282,208896,26112.000000,2026-09-23 18:32:21,2026-09-23 18:32:21,completed,21148,12742,8406,60.25,2423,12743,80.99
path09.txt,1,9,116004,0.387467921,262144,29127.111111,2026-09-23 18:32:21,2026-09-23 18:32:22,completed,225992,140216,85776,62.04,24213,140217,82.73
path10.txt,1,10,1356984,4.325518477,262144,26214.400000,2026-09-23 18:32:22,2026-09-23 18:32:26,completed,2554541,1614780,939761,63.21,257797,1614781,84.04
path11.txt,1,11,16347228,50.755043330,204800,18618.181818,2026-09-23 18:32:40,2026-09-23 18:33:31,completed,30029387,19223956,10805431,64.02,2876729,19223957,85.04
path12.txt,1,12,201427344,615.612867406,196608,16384.000000,2026-09-23 18:33:31,2026-09-23 18:43:47,completed,363297587,234701224,128596363,64.60,33273881,234701225,85.82
path13.txt,1,13,313464021,900.035731937,0,0.000000,2026-09-23 18:43:47,2026-09-23 18:58:47,time_limit_exceeded,573336035,337049693,236286342,58.79,23585672,337049693,93.00
path14.txt,1,14,311968575,900.047201514,0,0.000000,2026-09-23 18:58:47,2026-09-23 19:13:47,time_limit_exceeded,595608301,330311583,265296718,55.46,18343009,330311584,94.45
path15.txt,1,15,312877329,900.028175929,0,0.000000,2026-09-23 19:13:47,2026-09-23 19:28:47,time_limit_exceeded,620284924,330029933,290254991,53.21,17152604,330029933,94.80
