case_001.txt	faces=2	max_face=9	vertices=9	edges=9	base_points=3 subdivisions=2 seed=464578933
case_002.txt	faces=3	max_face=12	vertices=14	edges=15	base_points=4 subdivisions=2 seed=1448007350
case_003.txt	faces=4	max_face=9	vertices=16	edges=18	base_points=4 subdivisions=2 seed=295110334
case_004.txt	faces=4	max_face=12	vertices=19	edges=21	base_points=5 subdivisions=2 seed=38910231
case_005.txt	faces=5	max_face=12	vertices=21	edges=24	base_points=5 subdivisions=2 seed=370240180
case_006.txt	faces=5	max_face=12	vertices=21	edges=24	base_points=5 subdivisions=2 seed=2070258115
case_007.txt	faces=5	max_face=15	vertices=24	edges=27	base_points=6 subdivisions=2 seed=1756289863
case_008.txt	faces=5	max_face=15	vertices=24	edges=27	base_points=6 subdivisions=2 seed=1795922007
case_009.txt	faces=5	max_face=15	vertices=24	edges=27	base_points=6 subdivisions=2 seed=150049419
case_010.txt	faces=6	max_face=9	vertices=23	edges=27	base_points=5 subdivisions=2 seed=1174986869
case_011.txt	faces=6	max_face=12	vertices=26	edges=30	base_points=6 subdivisions=2 seed=279218017
case_012.txt	faces=6	max_face=12	vertices=26	edges=30	base_points=6 subdivisions=2 seed=1983757245
case_013.txt	faces=6	max_face=15	vertices=26	edges=30	base_points=6 subdivisions=2 seed=1128639835
case_014.txt	faces=6	max_face=15	vertices=26	edges=30	base_points=6 subdivisions=2 seed=211171107
case_015.txt	faces=6	max_face=18	vertices=29	edges=33	base_points=7 subdivisions=2 seed=1783518027
case_016.txt	faces=6	max_face=18	vertices=29	edges=33	base_points=7 subdivisions=2 seed=1595650272
case_017.txt	faces=6	max_face=18	vertices=29	edges=33	base_points=7 subdivisions=2 seed=2031917450
case_018.txt	faces=7	max_face=12	vertices=28	edges=33	base_points=6 subdivisions=2 seed=974035497
case_019.txt	faces=7	max_face=12	vertices=28	edges=33	base_points=6 subdivisions=2 seed=598149053
case_020.txt	faces=7	max_face=12	vertices=28	edges=33	base_points=6 subdivisions=2 seed=2040044257
case_021.txt	faces=7	max_face=15	vertices=31	edges=36	base_points=7 subdivisions=2 seed=1073248653
