case_001.txt	faces=3	max_face=4	vertices=4	edges=5	n_vertices=4 target_faces=3
case_002.txt	faces=4	max_face=5	vertices=5	edges=7	n_vertices=5 target_faces=4
case_003.txt	faces=5	max_face=6	vertices=6	edges=9	n_vertices=6 target_faces=5
case_004.txt	faces=5	max_face=6	vertices=6	edges=9	n_vertices=6 target_faces=5
case_005.txt	faces=5	max_face=6	vertices=6	edges=9	n_vertices=6 target_faces=5
case_006.txt	faces=6	max_face=7	vertices=7	edges=11	n_vertices=7 target_faces=6
case_007.txt	faces=6	max_face=7	vertices=7	edges=11	n_vertices=7 target_faces=6
case_008.txt	faces=6	max_face=7	vertices=7	edges=11	n_vertices=7 target_faces=6
case_009.txt	faces=6	max_face=7	vertices=7	edges=11	n_vertices=7 target_faces=6
case_010.txt	faces=7	max_face=8	vertices=8	edges=13	n_vertices=8 target_faces=7
case_011.txt	faces=7	max_face=8	vertices=8	edges=13	n_vertices=8 target_faces=7
case_012.txt	faces=7	max_face=8	vertices=8	edges=13	n_vertices=8 target_faces=7
case_013.txt	faces=7	max_face=8	vertices=8	edges=13	n_vertices=8 target_faces=7
case_014.txt	faces=7	max_face=8	vertices=8	edges=13	n_vertices=8 target_faces=7
case_015.txt	faces=8	max_face=9	vertices=9	edges=15	n_vertices=9 target_faces=8
case_016.txt	faces=8	max_face=9	vertices=9	edges=15	n_vertices=9 target_faces=8
case_017.txt	faces=8	max_face=9	vertices=9	edges=15	n_vertices=9 target_faces=8
case_018.txt	faces=8	max_face=9	vertices=9	edges=15	n_vertices=9 target_faces=8
case_019.txt	faces=9	max_face=10	vertices=10	edges=17	n_vertices=10 target_faces=9
case_020.txt	faces=9	max_face=10	vertices=10	edges=17	n_vertices=10 target_faces=9
case_021.txt	faces=9	max_face=10	vertices=10	edges=17	n_vertices=10 target_faces=9
case_022.txt	faces=9	max_face=10	vertices=10	edges=17	n_vertices=10 target_faces=9
case_023.txt	faces=9	max_face=10	vertices=10	edges=17	n_vertices=10 target_faces=9
case_024.txt	faces=9	max_face=10	vertices=10	edges=17	n_vertices=10 target_faces=9
case_025.txt	faces=10	max_face=11	vertices=11	edges=19	n_vertices=11 target_faces=10
case_026.txt	faces=10	max_face=11	vertices=11	edges=19	n_vertices=11 target_faces=10
case_027.txt	faces=10	max_face=11	vertices=11	edges=19	n_vertices=11 target_faces=10
case_028.txt	faces=10	max_face=11	vertices=11	edges=19	n_vertices=11 target_faces=10
case_029.txt	faces=11	max_face=12	vertices=12	edges=21	n_vertices=12 target_faces=11
case_030.txt	faces=11	max_face=12	vertices=12	edges=21	n_vertices=12 target_faces=11
case_031.txt	faces=11	max_face=12	vertices=12	edges=21	n_vertices=12 target_faces=11
case_032.txt	faces=11	max_face=12	vertices=12	edges=21	n_vertices=12 target_faces=11
case_033.txt	faces=12	max_face=13	vertices=13	edges=23	n_vertices=13 target_faces=12
case_034.txt	faces=12	max_face=13	vertices=13	edges=23	n_vertices=13 target_faces=12
case_035.txt	faces=12	max_face=13	vertices=13	edges=23	n_vertices=13 target_faces=12
case_036.txt	faces=12	max_face=13	vertices=13	edges=23	n_vertices=13 target_faces=12
case_037.txt	faces=13	max_face=14	vertices=14	edges=25	n_vertices=14 target_faces=13
case_038.txt	faces=13	max_face=14	vertices=14	edges=25	n_vertices=14 target_faces=13
case_039.txt	faces=13	max_face=14	vertices=14	edges=25	n_vertices=14 target_faces=13
case_040.txt	faces=13	max_face=14	vertices=14	edges=25	n_vertices=14 target_faces=13
case_041.txt	faces=13	max_face=14	vertices=14	edges=25	n_vertices=14 target_faces=13
case_042.txt	faces=14	max_face=15	vertices=15	edges=27	n_vertices=15 target_faces=14
case_043.txt	faces=14	max_face=15	vertices=15	edges=27	n_vertices=15 target_faces=14
case_044.txt	faces=14	max_face=15	vertices=15	edges=27	n_vertices=15 target_faces=14
case_045.txt	faces=14	max_face=15	vertices=15	edges=27	n_vertices=15 target_faces=14
case_046.txt	faces=15	max_face=16	vertices=16	edges=29	n_vertices=16 target_faces=15
case_047.txt	faces=15	max_face=16	vertices=16	edges=29	n_vertices=16 target_faces=15
case_048.txt	faces=15	max_face=16	vertices=16	edges=29	n_vertices=16 target_faces=15
case_049.txt	faces=15	max_face=16	vertices=16	edges=29	n_vertices=16 target_faces=15
case_050.txt	faces=16	max_face=17	vertices=17	edges=31	n_vertices=17 target_faces=16
case_051.txt	faces=16	max_face=17	vertices=17	edges=31	n_vertices=17 target_faces=16
case_052.txt	faces=16	max_face=17	vertices=17	edges=31	n_vertices=17 target_faces=16
case_053.txt	faces=16	max_face=17	vertices=17	edges=31	n_vertices=17 target_faces=16
case_054.txt	faces=17	max_face=18	vertices=18	edges=33	n_vertices=18 target_faces=17
case_055.txt	faces=17	max_face=18	vertices=18	edges=33	n_vertices=18 target_faces=17
case_056.txt	faces=17	max_face=18	vertices=18	edges=33	n_vertices=18 target_faces=17
case_057.txt	faces=17	max_face=18	vertices=18	edges=33	n_vertices=18 target_faces=17
case_058.txt	faces=18	max_face=19	vertices=19	edges=35	n_vertices=19 target_faces=18
case_059.txt	faces=18	max_face=19	vertices=19	edges=35	n_vertices=19 target_faces=18
case_060.txt	faces=18	max_face=19	vertices=19	edges=35	n_vertices=19 target_faces=18
case_061.txt	faces=18	max_face=19	vertices=19	edges=35	n_vertices=19 target_faces=18
case_062.txt	faces=18	max_face=19	vertices=19	edges=35	n_vertices=19 target_faces=18
case_063.txt	faces=19	max_face=20	vertices=20	edges=37	n_vertices=20 target_faces=19
case_064.txt	faces=19	max_face=20	vertices=20	edges=37	n_vertices=20 target_faces=19
case_065.txt	faces=19	max_face=20	vertices=20	edges=37	n_vertices=20 target_faces=19
case_066.txt	faces=19	max_face=20	vertices=20	edges=37	n_vertices=20 target_faces=19
case_067.txt	faces=20	max_face=21	vertices=21	edges=39	n_vertices=21 target_faces=20
case_068.txt	faces=20	max_face=21	vertices=21	edges=39	n_vertices=21 target_faces=20
case_069.txt	faces=20	max_face=21	vertices=21	edges=39	n_vertices=21 target_faces=20
case_070.txt	faces=20	max_face=21	vertices=21	edges=39	n_vertices=21 target_faces=20
case_071.txt	faces=21	max_face=22	vertices=22	edges=41	n_vertices=22 target_faces=21
case_072.txt	faces=21	max_face=22	vertices=22	edges=41	n_vertices=22 target_faces=21
case_073.txt	faces=21	max_face=22	vertices=22	edges=41	n_vertices=22 target_faces=21
